CountryOfResidence,Y2019
Afghanistan,815
Algeria,352
Angola,627
Australia,18997
Austria,18390
Bahrain,172
Bangladesh,935
Belarus,725
Belgium,16959
Benin,95
Botswana,1514
Brazil,3521
Bulgaria,2040
Burundi,110
Cameroon,473
Canada,8011
Comoros,1305
Congo,753
Croatia,992
Czechia,14729
Denmark,7388
Egypt,830
Estonia,1313
Ethiopia,318
Finland,4051
France,302038
Gabon,205
Germany,129100
Ghana,1036
Greece,1086
Hong Kong SAR,1432
Hungary,4061
India,75673
Indonesia,2734
Iran,136
Ireland,3939
Israel,3082
Italy,41991
Ivory Coast,557
Japan,2234
Jordan,253
Kazakhstan,316
Kenya,4887
Eswatini,435
"Korea, South",7072
Kuwait,817
Latvia,631
Lebanon,565
Lesotho,240
Lithuania,1338
Luxembourg,2030
Madagascar,15979
Malawi,469
Malaysia,2045
Maldives,312
Mayotte,1597
Morocco,1053
Mozambique,1151
Namibia,1365
Nepal,336
Netherlands,16814
New Zealand,1059
Niger,217
Nigeria,3614
Norway,5703
Oman,253
Pakistan,932
China,42740
Philippines,3299
Poland,11411
Portugal,5236
Qatar,360
Reunion Island,137570
Romania,4817
Russia,11191
Rwanda,297
Saudi Arabia,22788
Senegal,260
Serbia,816
Seychelles,6838
Singapore,2794
Slovakia,4234
Slovenia,2211
South Africa,118556
Spain,14307
Sri Lanka,511
Sudan,97
Sweden,13215
Switzerland,42045
Taiwan,1872
Tanzania,1074
Thailand,561
Togo,80
Tunisia,507
Turkey,3011
Uganda,824
Ukraine,3622
United Arab Emirates,13999
United Kingdom,141520
United States of America,10407
Vietnam,652
Zambia,1171
Zimbabwe,3021
